session_id,user_id,recipe_id,饮品名称,是否通过规则过滤,过滤原因,state_score,flavor_score,scene_score,health_score,visual_score,final_rule_score,label,user_tags,recipe_tags
S001,U001,R001,薄荷柠檬气泡茶,False,高咖啡因,0.1822,0.1111,0.5556,0.65,0.0,0.3227,0,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,柠檬、绿茶、薄荷叶、气泡水、柠檬-风味、绿茶-基底、薄荷叶-风味、气泡水-口感、柠檬-中、绿茶-主、薄荷叶-少量、气泡水-中、疲惫、困倦、控糖、运动后、烦躁、想释放、想提神、清爽、酸感、气泡感、果香、茶香、轻盈、低负担、过瘾感、冰爽、提神、释放、专注、轻补充、胃敏感慎用、夜间慎用、无糖、微糖、冷饮、清爽解乏、低卡提神、适合疲惫午后、冷色、高明度、气泡元素、流动线条、需预制、柠檬草、茉莉绿茶、荷叶、果味类、风味、装饰、否、低刺激、低糖、植物元素、花草类、花香、放松、低咖啡因、茶基类、基底、中、苦感、咖啡因敏感慎用、仪式感、安抚、柔和线条、过敏风险、低饱和、气泡基类、口感
S001,U001,R002,蜂蜜柠檬茶,True,,0.2609,0.2,0.3056,1.0,0.0,0.4141,0,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,柠檬、红茶、蜂蜜、柠檬-风味、红茶-基底、蜂蜜-风味、柠檬-中、红茶-主、蜂蜜-少量、疲惫、困倦、低落、烦躁、想提神、清爽、酸感、果香、茶香、甜感、提神、专注、胃敏感慎用、夜间慎用、控糖慎用、过敏风险、中糖、高糖、冷饮、热饮、暖心酸甜、提神舒缓、冷热皆宜、暖色、流动线条、强对比、需预制、柠檬草、伯爵红茶、果味类、风味、装饰、否、轻盈、低刺激、低糖、高明度、冷色、植物元素、花草类、花香、低负担、放松、低咖啡因、茶基类、基底、中、苦感、温热、浓郁、满足、咖啡因敏感慎用、低饱和、柔和线条、仪式感、陪伴、甜味辅料类、甜度、安抚
S001,U001,R003,葡萄柠檬茉莉花茶,True,,0.2609,0.1429,0.5556,1.0,0.0,0.4402,1,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,柠檬、葡萄、茉莉绿茶、柠檬-风味、葡萄-风味、茉莉绿茶-基底、柠檬-少量、葡萄-中、茉莉绿茶-主、疲惫、困倦、运动后、低落、烦躁、想提神、清爽、酸感、果香、茶香、花香、甜感、冰爽、提神、专注、轻补充、胃敏感慎用、夜间慎用、过敏风险、微糖、中糖、冷饮、花果清甜、提神解腻、运动后轻补充、冷色、强对比、流动线条、需预制、柠檬草、葡萄柚、绿茶、果味类、风味、装饰、否、轻盈、低刺激、低糖、高明度、植物元素、花草类、低负担、放松、低咖啡因、苦感、暖色、顺滑、满足、陪伴、控糖慎用、圆润、茶基类、基底、中、咖啡因敏感慎用、仪式感、安抚、柔和线条
S001,U001,R004,青柠桂花蜜乌龙,True,,0.2438,0.1667,0.5556,1.0,0.0,0.4398,1,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,青柠、乌龙茶、桂花、蜂蜜、青柠-风味、乌龙茶-基底、桂花-装饰、蜂蜜-风味、青柠-中、乌龙茶-主、桂花-点缀、蜂蜜-少量、疲惫、困倦、运动后、低落、烦躁、想提神、清爽、酸感、果香、茶香、花香、甜感、提神、专注、轻补充、胃敏感慎用、夜间慎用、过敏风险、微糖、中糖、冷饮、桂花蜜香、清新提神、温和不刺激、冷色、流动线条、植物元素、需预制、果味类、风味、装饰、否、冰爽、释放、低刺激、低糖、高明度、气泡元素、茶基类、基底、中、轻盈、低负担、咖啡因敏感慎用、低饱和、花草类、温热、仪式感、安抚、陪伴、满足、暖色、柔和线条、甜味辅料类、甜度、浓郁、控糖慎用
S001,U001,R005,百香果乳酸绿茶,True,,0.2111,0.1429,0.5556,1.0,0.0,0.4252,0,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,百香果、绿茶、乳酸菌饮品、果粒、百香果-风味、绿茶-基底、乳酸菌饮品-风味、果粒-口感、百香果-中、绿茶-主、乳酸菌饮品-中、果粒-少量、疲惫、困倦、运动后、低落、烦躁、想提神、想释放、酸感、果香、甜感、过瘾感、茶香、清爽、冰爽、提神、释放、满足、轻补充、胃敏感慎用、夜间慎用、过敏风险、微糖、中糖、冷饮、酸甜过瘾、乳酸低负担、释放烦躁、暖色、流动线条、圆润、需预制、茉莉绿茶、果味类、风味、装饰、否、控糖慎用、高明度、植物元素、强对比、茶基类、基底、中、苦感、轻盈、专注、低糖、咖啡因敏感慎用、冷色、花香、仪式感、安抚、柔和线条、奶基类、口感、是、奶香、乳糖不耐慎用、辅料类、陪伴
S001,U001,R006,百香果美式,False,高咖啡因,0.296,0.0,0.5556,0.65,0.0,0.3346,0,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,百香果、浓缩咖啡、果粒、百香果-风味、浓缩咖啡-基底、果粒-口感、百香果-主、浓缩咖啡-中、果粒-少量、疲惫、困倦、睡眠不足、控糖、低落、想提神、酸感、果香、咖啡香、苦感、轻盈、低负担、过瘾感、清爽、冰爽、释放、提神、专注、咖啡因敏感慎用、胃敏感慎用、夜间慎用、无糖、微糖、冷饮、果香咖啡、低卡提神、早晨醒脑首选、暖色、低饱和、流动线条、圆润、需预制、咖啡、果味类、风味、装饰、否、甜感、满足、控糖慎用、高明度、植物元素、强对比、咖啡基类、基底、高、浓郁、温热、低糖、柔和线条、辅料类、口感、陪伴
S001,U001,R007,百香果美式（低咖啡因）,False,高咖啡因,0.0839,0.0,0.55,0.65,0.0,0.2702,0,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,百香果、低因咖啡、果粒、百香果-风味、低因咖啡-基底、果粒-口感、百香果-主、低因咖啡-中、果粒-少量、咖啡因敏感、控糖、想满足、想安抚、想放松、咖啡香、苦感、低负担、酸感、果香、轻盈、过瘾感、清爽、冰爽、释放、陪伴、满足、放松、安抚、胃敏感慎用、无糖、微糖、冷饮、低因果咖、安抚放松、夜间也能喝、暖色、低饱和、圆润、柔和线条、需预制、咖啡、果味类、风味、装饰、否、甜感、控糖慎用、高明度、植物元素、强对比、咖啡基类、基底、高、浓郁、温热、提神、专注、低糖、咖啡因敏感慎用、夜间慎用、低、低刺激、辅料类、口感
S001,U001,R008,杨枝甘露,True,,0.1828,0.0,0.5556,1.0,0.0,0.3882,0,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,葡萄柚、芒果、酸奶、椰奶、果粒、葡萄柚-风味、芒果-风味、酸奶-风味、椰奶-基底、果粒-口感、葡萄柚-少量、芒果-中、酸奶-中、椰奶-主、果粒-少量、疲惫、低落、想放松、想满足、想释放、酸感、奶香、顺滑、清爽、果香、甜感、过瘾感、冰爽、满足、轻补充、放松、乳糖不耐慎用、胃敏感慎用、控糖慎用、过敏风险、中糖、高糖、冷饮、浓郁顺滑、满足感强、解压小甜品、暖色、高明度、圆润、柔和线条、暂不适合、葡萄、果味类、风味、装饰、否、苦感、提神、低刺激、低糖、流动线条、植物元素、轻盈、陪伴、冷色、浓郁、释放、奶基类、基底、口感、是、低饱和、无乳、辅料类
S001,U001,R009,鲜橙绿茶,True,,0.2346,0.1429,0.5556,1.0,0.0,0.4323,0,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,橙子、绿茶、果粒、橙子-风味、绿茶-基底、果粒-少量、橙子-中、绿茶-主、疲惫、困倦、运动后、低落、烦躁、想提神、想释放、酸感、甜感、茶香、果香、过瘾感、清爽、冰爽、提神、专注、轻补充、胃敏感慎用、夜间慎用、微糖、中糖、冷饮、鲜橙绿茶、清爽解渴、轻提神不负担、暖色、流动线条、需预制、茉莉绿茶、果味类、风味、装饰、否、满足、控糖慎用、高明度、圆润、植物元素、茶基类、基底、中、苦感、轻盈、低糖、咖啡因敏感慎用、冷色、花香、仪式感、安抚、柔和线条、辅料类、口感、陪伴、释放
S001,U001,R010,橙C美式,False,高咖啡因,0.2948,0.0,0.5556,0.65,0.0,0.3343,0,下午、图书馆自习、疲惫、睡眠不足、低落、想提神、清爽、柠檬、少糖、茶香、冷饮、咖啡因敏感、广东、音乐、下午学习、低咖啡因、低糖、果香、轻提神,橙子、浓缩咖啡、果粒、橙子-风味、浓缩咖啡-基底、果粒-口感、橙子-主、浓缩咖啡-中、果粒-少量、疲惫、困倦、睡眠不足、控糖、低落、想提神、酸感、甜感、果香、咖啡香、苦感、轻盈、低负担、清爽、冰爽、提神、专注、咖啡因敏感慎用、胃敏感慎用、夜间慎用、无糖、微糖、冷饮、橙香美式、低卡醒脑、早晨低负担提神、暖色、低饱和、流动线条、圆润、需预制、咖啡、果味类、风味、装饰、否、满足、轻补充、控糖慎用、高明度、植物元素、咖啡基类、基底、高、浓郁、温热、低糖、柔和线条、过瘾感、强对比、辅料类、口感、陪伴、释放
