input_id,body,mood,scene,flavor_preference,temperature_preference,limits,推荐方向,top1_recipe_id,top1_name,top1_score,top1_reason,top2_recipe_id,top2_name,top2_score,top2_reason,top3_recipe_id,top3_name,top3_score,top3_reason,manual_choice,manual_note
U0001,疲劳、困倦,低落,图书馆/自习室,清爽、茶香、果香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽茶香型,R045,荷叶陈皮,0.7646,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：果香、清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用,R038,菊花柠檬草,0.7645,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：果香、清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用,R055,薰衣草蓝莓,0.7645,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：果香、清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0002,困倦、疲劳,低落,家/宿舍,奶香、甜感,热饮,乳糖不耐慎用,乳糖不耐慎用热饮奶香甜感型,R069,焙茶豆奶,0.8336,匹配你的身体状态：困倦、疲劳；匹配你的心情状态：低落；匹配你的感官偏好：奶香；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,R056,陈皮红茶,0.8336,匹配你的身体状态：困倦、疲劳；匹配你的心情状态：低落；匹配你的感官偏好：甜感；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,R039,茉莉花白茶,0.8336,匹配你的身体状态：困倦、疲劳；匹配你的心情状态：低落；匹配你的感官偏好：甜感；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,,
U0003,良好,开心,商场/商业街,清爽、果香、甜感,冷饮,,冷饮清爽果香型,R090,黑巧椰乳,0.7776,匹配你的心情状态：开心；匹配你的场景：商场/商业街；匹配你的感官偏好：果香、清爽、甜感；匹配你的冷热偏好：冷饮,R113,椰奶荔枝,0.7776,匹配你的心情状态：开心；匹配你的场景：商场/商业街；匹配你的感官偏好：果香、清爽、甜感；匹配你的冷热偏好：冷饮,R050,柠檬草橙子,0.8054,匹配你的身体状态：良好；匹配你的心情状态：开心；匹配你的感官偏好：果香、清爽、甜感,,
U0004,困倦,紧张,图书馆/自习室,清爽、花香,常温,咖啡因敏感慎用,咖啡因敏感慎用常温清爽花香型,R045,荷叶陈皮,0.7346,匹配你的心情状态：紧张；匹配你的感官偏好：清爽、花香；已考虑你的健康约束：咖啡因敏感慎用,R038,菊花柠檬草,0.7345,匹配你的心情状态：紧张；匹配你的感官偏好：清爽、花香；已考虑你的健康约束：咖啡因敏感慎用,R055,薰衣草蓝莓,0.7343,匹配你的心情状态：紧张；匹配你的感官偏好：清爽、花香；已考虑你的健康约束：咖啡因敏感慎用,,
U0005,良好,低落,图书馆/自习室,清爽,热饮,低糖、低刺激,低糖热饮清爽型,R045,荷叶陈皮,0.7716,匹配你的心情状态：低落；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、低刺激,R038,菊花柠檬草,0.7715,匹配你的心情状态：低落；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、低刺激,R055,薰衣草蓝莓,0.7714,匹配你的心情状态：低落；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、低刺激,,
U0006,疲劳,烦躁,家/宿舍、图书馆/自习室,清爽、果香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽果香型,R055,薰衣草蓝莓,0.7686,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：果香、清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用,R111,豆奶苹果,0.7686,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：果香、清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用,R116,椰乳百合,0.7686,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：果香、清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0007,疲劳、口渴,开心,健身房/运动场,果香、酸感、甜感,冷饮,低糖,低糖冷饮果香酸感型,R083,冷萃咖啡椰子水,0.836,匹配你的身体状态：口渴、疲劳；匹配你的心情状态：开心；匹配你的感官偏好：果香、甜感；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R089,可可粉豆奶,0.8076,匹配你的身体状态：疲劳；匹配你的心情状态：开心；匹配你的感官偏好：果香、甜感、酸感；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R109,酸奶草莓,0.8076,匹配你的身体状态：疲劳；匹配你的心情状态：开心；匹配你的感官偏好：果香、甜感、酸感；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,,
U0008,疲劳,低落,家/宿舍,花香,热饮,低糖,低糖热饮花香型,R069,焙茶豆奶,0.8401,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R039,茉莉花白茶,0.8401,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R056,陈皮红茶,0.8401,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,,
U0009,疲劳、感觉有点冷,平静,地铁/公交/车站、公园/户外,茶香,热饮,,热饮茶香型,R030,芒果红茶,0.7698,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的感官偏好：茶香,R061,焙茶鲜奶,0.7726,匹配你的身体状态：疲劳；匹配你的感官偏好：茶香；匹配你的冷热偏好：热饮,R075,红茶淡奶油,0.7726,匹配你的身体状态：疲劳；匹配你的感官偏好：茶香；匹配你的冷热偏好：热饮,,
U0010,良好,开心,商场/商业街,清爽、果香、酸感,常温,低糖、低刺激,低糖常温清爽果香型,R050,柠檬草橙子,0.8402,匹配你的身体状态：良好；匹配你的心情状态：开心；匹配你的感官偏好：果香、清爽、酸感；匹配你的冷热偏好：常温；已考虑你的健康约束：低糖、低刺激,R119,椰子水橙子,0.8402,匹配你的身体状态：良好；匹配你的心情状态：开心；匹配你的感官偏好：果香、清爽、酸感；匹配你的冷热偏好：常温；已考虑你的健康约束：低糖、低刺激,R043,金银花菊花,0.8312,匹配你的身体状态：良好；匹配你的心情状态：开心；匹配你的感官偏好：清爽；匹配你的冷热偏好：常温；已考虑你的健康约束：低糖、低刺激,,
U0011,良好,烦躁,商场/商业街,清爽、果香、酸感,冷饮,,冷饮清爽果香型,R050,柠檬草橙子,0.7711,匹配你的身体状态：良好；匹配你的感官偏好：果香、清爽、酸感,R119,椰子水橙子,0.7711,匹配你的身体状态：良好；匹配你的感官偏好：果香、清爽、酸感,R102,苹果陈皮气泡饮,0.7996,匹配你的身体状态：良好；匹配你的场景：商场/商业街；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮,,
