视觉标签,主色调,辅助色,图形元素,构图规则
冷色,#7BA7BC #5B8C9E #A8D8EA,#E8F4F8 #D0E8F0,水滴、冰晶、雪花、薄荷叶,中心扩散、渐变层叠、留白呼吸
暖色,#C97B5A #E8B86D #D4956B,#FFF3E0 #FDEBD0,光晕、暖阳弧线、陶土纹理,同心圆、渐变暖光、低对比过渡
高明度,#F6F1E8 #FFF8EF #E8F0E8,#FFFFFF #F0F0F0,光点、半透明层、轻羽,大面积留白、顶部光源、层叠透明
低饱和,#C4B5A5 #A8A0A0 #D5CFC0,#E8E0D8 #F0EAE2,磨砂纹理、雾面、纸张肌理,柔和渐变、均匀分布、弱对比
圆润,#E8C8A0 #D4A88C #C9B896,#F5EDE0 #F0E0C8,圆弧、椭圆、泡泡、鹅卵石,环绕排列、曲線主导、无缝衔接
强对比,#2F2320 #8B5A3C #C97B5A,#1A1A1A #4A2A1A,锐利切面、几何块面、断层线,对角线分割、大面积色块、黑白穿插
柔和线条,#C8D5C0 #A8B8A0 #D8E0D0,#E8EFE5 #F5F8F2,水纹、丝绸褶皱、柳叶弧线,流线型排列、层叠交叠、舒缓节奏
植物元素,#7B8F6B #A8C090 #6B8B5A,#D8E8D0 #E8F0E0,叶片、藤蔓、花瓣、枝干剪影,散落分布、自然生长、不对称平衡
气泡元素,#B8D8E8 #D0E8F5 #E0F0F8,#FFFFFF #C0E0F0,气泡群、碳酸纹理、上升轨迹线,悬浮排列、大小渐变、上升动势
流动线条,#C0B0A0 #D5C8B8 #A89888,#E8E0D5 #F0EAE0,水波、烟雾弧线、茶汤纹理,曲线主导、连续不断、层叠交叠
地域元素,#8B6B5A #C9A888 #D4B896,#E8D8C0 #F0E5D0,山水剪影、窗花纹样、地貌轮廓,框景构图、上下分层、中心聚焦
