session_id,user_id,recipe_id,饮品名称,twin_tower_similarity,normalized_twin_similarity,state_score,flavor_score,scene_score,health_score,visual_score,rule_score,makeability_score,novelty_score,label,rank_target_score
S001,U001,R001,薄荷柠檬气泡茶,-0.779,0.1105,0.1822,0.1111,0.5556,0.65,0.0,0.3227,0.7,0.8823,0,0.0
S001,U001,R002,蜂蜜柠檬茶,-0.484,0.258,0.2609,0.2,0.3056,1.0,0.0,0.4141,0.7,0.976,0,0.3955
S001,U001,R003,葡萄柠檬茉莉花茶,0.1587,0.5794,0.2609,0.1429,0.5556,1.0,0.0,0.4402,0.7,0.6147,1,0.5516
S001,U001,R004,青柠桂花蜜乌龙,-0.0013,0.4993,0.2438,0.1667,0.5556,1.0,0.0,0.4398,0.7,0.6247,1,0.5239
S001,U001,R005,百香果乳酸绿茶,-0.6767,0.1616,0.2111,0.1429,0.5556,1.0,0.0,0.4252,0.7,0.8432,0,0.3601
S001,U001,R006,百香果美式,-0.7884,0.1058,0.296,0.0,0.5556,0.65,0.0,0.3346,0.7,0.5833,0,0.0
S001,U001,R007,百香果美式（低咖啡因）,-0.7899,0.1051,0.0839,0.0,0.55,0.65,0.0,0.2702,0.7,0.5308,0,0.0
S001,U001,R008,杨枝甘露,-0.6099,0.1951,0.1828,0.0,0.5556,1.0,0.0,0.3882,0.3,0.5289,0,0.2994
S001,U001,R009,鲜橙绿茶,-0.5354,0.2323,0.2346,0.1429,0.5556,1.0,0.0,0.4323,0.7,0.5418,0,0.3729
S001,U001,R010,橙C美式,-0.7871,0.1065,0.2948,0.0,0.5556,0.65,0.0,0.3343,0.7,0.7896,0,0.0
S001,U001,R011,橙C美式（低咖啡因）,-0.7598,0.1201,0.088,0.0,0.5556,0.65,0.0,0.2722,0.7,0.6902,0,0.0
S001,U001,R012,鲜橙养乐多,-0.519,0.2405,0.1923,0.0,0.5556,1.0,0.0,0.391,0.7,0.5835,0,0.3593
S001,U001,R013,草莓奶昔,-0.4995,0.2503,0.1961,0.0,0.5556,1.0,0.0,0.3922,0.7,0.5744,0,0.3628
S001,U001,R014,蓝莓奶昔,-0.4426,0.2787,0.1971,0.0,0.5556,1.0,0.0,0.3925,0.7,0.6919,0,0.3788
S001,U001,R015,桃桃乌龙,0.2822,0.6411,0.263,0.2,0.5556,1.0,0.0,0.4522,0.7,0.8836,1,0.5921
S001,U001,R016,芒果奶昔,-0.4941,0.2529,0.1952,0.0,0.5556,1.0,0.0,0.3919,0.7,0.6033,0,0.365
S001,U001,R017,柠迭莓萝气泡水,-0.4536,0.2732,0.1921,0.0,0.5556,0.65,0.0,0.3035,0.3,0.9496,0,0.0
S001,U001,R018,茉莉苹果奶绿,-0.0329,0.4836,0.2403,0.1429,0.5556,1.0,0.0,0.434,0.7,0.5664,0,0.4629
S001,U001,R019,荔枝白茶,0.2695,0.6348,0.263,0.2,0.5556,1.0,0.0,0.4522,0.7,0.7807,1,0.5847
S001,U001,R020,超级吨吨桶,-0.7807,0.1097,0.2147,0.1111,0.5556,1.0,0.0,0.42,0.3,0.55,0,0.2849
S001,U001,R021,芝士奶盖铁观音,-0.1301,0.435,0.25,0.1667,0.5556,1.0,0.0,0.4417,0.7,0.8247,1,0.5122
S001,U001,R022,抹茶椰青美式,-0.6771,0.1615,0.3048,0.125,0.5556,0.65,0.0,0.3623,1.0,0.5817,0,0.0
S001,U001,R023,草莓抹茶椰,-0.4315,0.2843,0.3009,0.1667,0.5556,0.65,0.0,0.3694,0.7,0.8708,0,0.0
S001,U001,R024,柠檬草薄荷气泡水,-0.6702,0.1649,0.1937,0.0,0.5556,0.65,0.0,0.3039,0.7,0.8562,0,0.0
S001,U001,R025,蝶豆花柠檬气泡水,-0.6489,0.1756,0.1904,0.0,0.5556,0.65,0.0,0.303,0.3,0.8884,0,0.0
S001,U001,R026,泰式奶红,-0.6389,0.1806,0.1942,0.1667,0.5,1.0,0.0,0.4166,1.0,0.609,0,0.3811
S001,U001,R027,泰式奶绿,-0.6246,0.1877,0.1916,0.1667,0.5,1.0,0.0,0.4158,1.0,0.6598,0,0.3858
S001,U001,R028,冰橙伯爵鸳鸯茶,-0.7743,0.1129,0.2586,0.1667,0.5,0.65,0.0,0.3484,1.0,0.9915,0,0.0
S001,U001,R029,伯爵红茶奶茶,-0.783,0.1085,0.2014,0.2,0.25,1.0,0.0,0.3879,1.0,0.8321,0,0.3541
S001,U001,R030,焙茶豆乳,-0.5832,0.2084,0.1985,0.2,0.25,1.0,0.0,0.387,1.0,0.5288,0,0.3735
S001,U001,R031,抹茶豆乳,-0.6952,0.1524,0.2513,0.2,0.25,0.65,0.0,0.3154,1.0,0.94,0,0.0
