标签分类,tag_id,标签名,含义,适用表/字段,推荐使用建议,同义词/避免写法
身体状态标签,BS001,疲惫,身体乏力、精力不足，希望获得轻量支持。,用户输入表-身体状态；饮品方案表-适配身体状态；推荐记录表-匹配原因,可与提神、轻补充、低负担等标签组合。,避免写成恢复体力等具体疗效。
身体状态标签,BS002,困倦,清醒度低、犯困，常见于早晨或下午学习场景。,用户输入表-身体状态；饮品方案表-适配身体状态；推荐记录表-匹配原因,可与提神、茶香、咖啡香、低糖等标签组合。,避免写成保证清醒。
身体状态标签,BS003,睡眠不足,前一晚休息较少，白天需要温和提振。,用户输入表-身体状态；饮品方案表-适配身体状态；推荐记录表-匹配原因,优先低负担、低刺激；夜间需避开高咖啡因。,避免写成改善睡眠。
身体状态标签,BS004,胃敏感,不适合强酸、强气泡、过冰或高刺激饮品。,用户输入表-身体状态；饮品方案表-适配身体状态；推荐记录表-匹配原因,规则过滤时优先排除强酸、强气泡、过冰、高咖啡因。,避免写成胃病、养胃、具体疗效或医疗化表达胃不适。
身体状态标签,BS005,乳糖不耐,不适合普通牛奶基底，需替换为无乳或植物基。,用户输入表-身体状态；饮品方案表-适配身体状态；推荐记录表-匹配原因,规则过滤含乳饮品，或推荐燕麦奶、椰奶等替代。,避免写成具体疗效或医疗化表达诊断。
身体状态标签,BS006,咖啡因敏感,不适合高咖啡因饮品，尤其是夜间场景。,用户输入表-身体状态；饮品方案表-适配身体状态；推荐记录表-匹配原因,规则过滤高咖啡因，优先低咖啡因/无咖啡因饮品。,避免写成过敏或具体疗效或医疗化表达。
身体状态标签,BS007,控糖,需要控制糖分摄入或希望选择低甜饮品。,用户输入表-身体状态；饮品方案表-适配身体状态；推荐记录表-匹配原因,推荐低糖、少糖、无额外糖方案。,避免写成具体疗效或医疗化表达、糖尿病管理。
身体状态标签,BS008,运动后,运动或出汗后，希望获得清爽、轻补充体验。,用户输入表-身体状态；饮品方案表-适配身体状态；推荐记录表-匹配原因,可与轻补充、清爽、低负担、冰爽等标签组合。,既可作身体状态，也可与场景环境中的运动后区分使用。
心情状态标签,MS001,低落,情绪偏低，希望获得安抚、陪伴或满足感。,用户输入表-心情状态；饮品方案表-适配心情状态；推荐记录表-匹配原因,可与安抚、陪伴、温热、奶香、低饱和视觉组合。,避免写成抑郁、具体疗效或医疗化表达情绪。
心情状态标签,MS002,烦躁,心情烦乱，希望获得舒缓、清爽或转换感。,用户输入表-心情状态；饮品方案表-适配心情状态；推荐记录表-匹配原因,可与清爽、冰爽、果香、释放等标签组合。,避免写成降火、治烦躁。
心情状态标签,MS003,紧张,考试、汇报或任务前的紧绷感。,用户输入表-心情状态；饮品方案表-适配心情状态；推荐记录表-匹配原因,可与放松、安抚、低刺激、专注等标签组合。,焦虑统一归入紧张，避免使用焦虑症等词。
心情状态标签,MS004,想放松,希望状态慢下来，降低紧绷感。,用户输入表-心情状态；饮品方案表-适配心情状态；推荐记录表-匹配原因,适合花香、温热、低饱和、柔和线条等组合。,不要写成具体疗效或医疗化表达、具体疗效或医疗化表达。
心情状态标签,MS005,想提神,希望更清醒、更有行动感。,用户输入表-心情状态；饮品方案表-适配心情状态；推荐记录表-匹配原因,适合茶香、咖啡香、果香、明亮视觉组合。,不要写成醒脑功效承诺。
心情状态标签,MS006,想安抚,希望获得温暖、稳定、被陪伴的感受。,用户输入表-心情状态；饮品方案表-适配心情状态；推荐记录表-匹配原因,适合奶香、温热、圆润、低饱和等组合。,不要写成具体疗效或医疗化表达/具体疗效或医疗化表达。
心情状态标签,MS007,想满足,希望获得奖励感、甜感、浓郁或仪式感。,用户输入表-心情状态；饮品方案表-适配心情状态；推荐记录表-匹配原因,适合奶香、可可、甜感、浓郁、仪式感等组合。,注意与控糖约束同时出现时需具体疗效或医疗化表达。
心情状态标签,MS008,想释放,希望获得爽快、过瘾、转换心情的体验。,用户输入表-心情状态；饮品方案表-适配心情状态；推荐记录表-匹配原因,适合气泡感、冰爽、酸感、强对比视觉。,不要写成宣泄具体疗效或医疗化表达。
场景环境标签,CT001,早晨,起床后、上课前或一天开始的场景。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,适合清爽、提神、低负担方向。,
场景环境标签,CT002,下午学习,下午学习或工作时容易犯困的场景。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,适合专注、提神、轻负担方向。,
场景环境标签,CT003,夜间休息,晚上或睡前前段，适合低刺激饮品。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,优先低咖啡因、温热、安抚方向。,避免夜饮无压力、具体疗效或医疗化表达等绝对表述。
