session_id,user_id,地点/场景,身体状态标签,心情状态标签,口味偏好,冷热偏好,饮食限制,推荐方向
S001,U001,图书馆/自习室,疲劳、困倦,低落,清爽、茶香、果香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽茶香型
S002,U002,家/宿舍,困倦、疲劳,低落,奶香、甜感,热饮,乳糖不耐慎用,乳糖不耐慎用热饮奶香甜感型
S003,U003,商场/商业街,良好,开心,清爽、果香、甜感,冷饮,,冷饮清爽果香型
S004,U004,图书馆/自习室,困倦,紧张,清爽、花香,常温,咖啡因敏感慎用,咖啡因敏感慎用常温清爽花香型
S005,U005,图书馆/自习室,良好,低落,清爽,热饮,低糖、低刺激,低糖热饮清爽型
S006,U006,家/宿舍、图书馆/自习室,疲劳,烦躁,清爽、果香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽果香型
S007,U007,健身房/运动场,疲劳、口渴,开心,果香、酸感、甜感,冷饮,低糖,低糖冷饮果香酸感型
S008,U008,家/宿舍,疲劳,低落,花香,热饮,低糖,低糖热饮花香型
S009,U009,地铁/公交/车站、公园/户外,疲劳、感觉有点冷,平静,茶香,热饮,,热饮茶香型
S010,U010,商场/商业街,良好,开心,清爽、果香、酸感,常温,低糖、低刺激,低糖常温清爽果香型
S011,U011,商场/商业街,良好,烦躁,清爽、果香、酸感,冷饮,,冷饮清爽果香型
S012,U012,学校/教学楼,良好,紧张,清爽、花香,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽花香型
S013,U013,图书馆/自习室,疲劳,低落,甜感,热饮,低糖、乳糖不耐慎用,低糖热饮甜感型
S014,U014,商场/商业街,良好,紧张,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型
S015,U015,家/宿舍,困倦、疲劳,烦躁,清爽,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽型
S016,U016,家/宿舍,疲劳,低落,清爽、果香、酸感,热饮,低刺激,低刺激热饮清爽果香型
S017,U017,图书馆/自习室、公园/户外,感觉有点冷,烦躁,清爽,热饮,低刺激,低刺激热饮清爽型
S018,U018,家/宿舍,良好、疲劳,紧张,茶香,常温,低糖、咖啡因敏感慎用,低糖常温茶香型
S019,U019,家/宿舍,良好、疲劳,低落,果香、甜感,常温,,常温果香甜感型
S020,U020,商场/商业街、公园/户外,疲劳、感觉有点热,平静,清爽,冷饮,低糖,低糖冷饮清爽型
S021,U021,图书馆/自习室,疲劳,低落,清爽,热饮,,热饮清爽型
S022,U022,家/宿舍,疲劳,开心,清爽,常温,低糖、低刺激,低糖常温清爽型
S023,U023,家/宿舍,良好、疲劳,烦躁,奶香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮奶香型
S024,U024,图书馆/自习室,疲劳,平静,清爽,热饮,低糖,低糖热饮清爽型
S025,U025,地铁/公交/车站,良好,烦躁,清爽,常温,,常温清爽型
S026,U026,商场/商业街,良好,紧张,清爽,常温,咖啡因敏感慎用,咖啡因敏感慎用常温清爽型
S027,U027,图书馆/自习室,疲劳,平静,果香、酸感、甜感,常温,,常温果香酸感型
