ingredient_id,成分名称,成分类别,成分角色,基础属性,是否含咖啡因,是否含乳,感官标签,状态/体验标签,适合状态,不适合状态,健康约束,适合场景,视觉标签,标签来源建议,备注
I001,柠檬,果味类,风味、装饰,酸感、果香、清爽,否,否,酸感、果香、清爽、轻盈,提神、清爽、低刺激,疲惫、困倦、想提神、烦躁,胃敏感、控糖,低糖、胃敏感慎用、低刺激,早晨、下午学习、炎热天气、通勤,高明度、冷色、流动线条、植物元素,产品调研 + 人工标注,适合果茶、气泡饮、茶基饮品；建议控制酸度和糖分
I002,青柠,果味类,风味、装饰,酸感、果香、冰爽,否,否,酸感、果香、冰爽、清爽,清爽、释放、低刺激,烦躁、想释放、想提神、运动后,胃敏感,低糖、胃敏感慎用、低刺激,炎热天气、运动后、社交、通勤,高明度、冷色、流动线条、气泡元素,产品调研 + 人工标注,适合冷饮和气泡水；不建议做过强酸味
I003,百香果,果味类,风味、装饰,酸感、果香、甜感,否,否,酸感、果香、甜感、过瘾感,清爽、释放、满足,烦躁、想释放、想满足,胃敏感、控糖,控糖慎用、胃敏感慎用,炎热天气、社交、下午学习,高明度、暖色、植物元素、强对比,产品调研 + 人工标注,适合果茶和气泡饮；籽感可增加层次
I004,葡萄柚,果味类,风味、装饰,酸感、苦感、果香,否,否,酸感、苦感、果香、清爽,清爽、提神、低刺激,困倦、想提神、烦躁,胃敏感,低糖、胃敏感慎用、低刺激,早晨、下午学习、通勤,高明度、暖色、流动线条、植物元素,产品调研 + 人工标注,适合轻盈果茶；苦感不宜过重
I005,橙子,果味类,风味、装饰,果香、甜感、酸感,否,否,果香、甜感、酸感、清爽,清爽、满足、轻补充,疲惫、运动后、想满足,胃敏感、控糖,控糖慎用、胃敏感慎用,早晨、运动后、炎热天气、社交,暖色、高明度、圆润、植物元素,产品调研 + 人工标注,适合果汁、果茶和冰饮；甜度可做分级
I006,草莓,果味类,风味、装饰,果香、甜感、轻盈,否,否,果香、甜感、轻盈、仪式感,满足、陪伴、清爽,低落、想满足、想安抚,控糖,控糖慎用,社交、下午学习、炎热天气,暖色、高明度、圆润、植物元素,产品调研 + 用户反馈 + 人工标注,适合奶茶、果茶和甜品型饮品；注意果酱含糖
I007,蓝莓,果味类,风味、装饰,果香、酸感、甜感,否,否,果香、酸感、甜感、低负担,清爽、满足、陪伴,低落、想满足、疲惫,胃敏感、控糖,控糖慎用、胃敏感慎用,下午学习、社交、图书馆/自习,冷色、低饱和、圆润、植物元素,产品调研 + 人工标注,适合酸奶、奶基和果茶；颜色适合做层次
I008,葡萄,果味类,风味、装饰,果香、甜感、顺滑,否,否,果香、甜感、顺滑、轻盈,满足、清爽、陪伴,想满足、低落、想放松,控糖,控糖慎用,社交、下午学习、通勤,冷色、高明度、圆润、植物元素,产品调研 + 人工标注,适合果茶和冰饮；建议使用低糖版本
I009,桃子,果味类,风味、装饰,果香、甜感、轻盈,否,否,果香、甜感、轻盈、仪式感,安抚、满足、陪伴,想安抚、低落、想满足,控糖,控糖慎用,下午学习、社交、夜间休息,暖色、低饱和、圆润、柔和线条,产品调研 + 用户反馈 + 人工标注,适合桃子乌龙、奶基和果茶；适合柔和视觉风格
I010,芒果,果味类,风味、装饰,果香、甜感、浓郁,否,否,果香、甜感、浓郁、顺滑,满足、陪伴、释放,想满足、低落、想释放,控糖、胃敏感,控糖慎用、低刺激,社交、炎热天气、下午学习,暖色、高明度、圆润、植物元素,产品调研 + 人工标注,适合奶昔、果茶和冰沙；注意甜腻感
I011,菠萝,果味类,风味、装饰,酸感、果香、过瘾感,否,否,酸感、果香、清爽、过瘾感,清爽、释放、轻补充,烦躁、运动后、想释放,胃敏感,胃敏感慎用、低刺激,炎热天气、运动后、社交,暖色、高明度、强对比、植物元素,产品调研 + 人工标注,适合气泡饮和冰饮；酸度不宜过高
I012,苹果,果味类,风味、装饰,果香、甜感、低负担,否,否,果香、甜感、低负担、清爽,低刺激、清爽、陪伴,胃敏感、想放松、疲惫,控糖,低糖、控糖慎用、低刺激,早晨、图书馆/自习、通勤,高明度、低饱和、圆润、植物元素,产品调研 + 人工标注,适合低负担果茶；可作为基础果味
I013,荔枝,果味类,风味、装饰,果香、甜感、仪式感,否,否,果香、甜感、仪式感、轻盈,满足、陪伴、安抚,想满足、低落、想安抚,控糖,控糖慎用,社交、下午学习、夜间休息,高明度、暖色、圆润、植物元素,产品调研 + 用户反馈 + 人工标注,适合花果茶和气泡饮；建议少糖突出香气
I014,椰子水,果味类,风味、装饰,清爽、轻盈、低负担,否,否,清爽、轻盈、低负担、果香,轻补充、清爽、低刺激,运动后、疲惫、烦躁,控糖,低糖、低刺激,运动后、炎热天气、通勤,高明度、冷色、流动线条、植物元素,产品调研 + 人工标注,适合运动后和夏季冷饮；可做低负担基底
I015,西瓜,果味类,风味、装饰,清爽、甜感、冰爽,否,否,清爽、甜感、冰爽、轻盈,清爽、释放、轻补充,运动后、烦躁、想释放,胃敏感、控糖,控糖慎用、低刺激,炎热天气、运动后、社交,高明度、暖色、流动线条、植物元素,产品调研 + 人工标注,适合冷饮和冰沙；注意冰量与糖分
I016,绿茶,茶基类,基底,茶香、苦感、清爽,中,否,茶香、苦感、清爽、轻盈,提神、专注、清爽,困倦、想提神、疲惫,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,早晨、下午学习、图书馆/自习,冷色、高明度、植物元素、流动线条,产品调研 + 人工标注,适合茶基和果茶；夜间饮用需谨慎
I017,茉莉绿茶,茶基类,基底,茶香、花香、清爽,中,否,茶香、花香、清爽、仪式感,提神、专注、安抚,困倦、想提神、紧张、想安抚,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,下午学习、图书馆/自习、社交,高明度、冷色、植物元素、柔和线条,产品调研 + 人工标注,适合花果茶；茶味不宜过苦
I018,乌龙茶,茶基类,基底,茶香、清爽、轻盈,中,否,茶香、清爽、轻盈、低负担,提神、专注、清爽,疲惫、想提神、困倦,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,下午学习、通勤、图书馆/自习,冷色、低饱和、植物元素、流动线条,产品调研 + 人工标注,适合果茶和奶茶；可做低糖茶底
I019,铁观音,茶基类,基底,茶香、苦感、仪式感,中,否,茶香、苦感、仪式感、清爽,专注、提神、低刺激,疲惫、困倦、想提神,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,图书馆/自习、下午学习、社交,低饱和、植物元素、柔和线条,产品调研 + 人工标注,适合做清香茶底；建议控制浓度
I020,红茶,茶基类,基底,茶香、苦感、温热,中,否,茶香、苦感、温热、浓郁,提神、专注、满足,困倦、想提神、疲惫,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,早晨、下午学习、寒冷天气,暖色、低饱和、植物元素、柔和线条,产品调研 + 人工标注,适合奶茶和热饮；茶感较强时要标注咖啡因
I021,伯爵红茶,茶基类,基底,茶香、果香、仪式感,中,否,茶香、果香、仪式感、温热,提神、满足、陪伴,想提神、想满足、低落,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,下午学习、社交、寒冷天气,暖色、低饱和、柔和线条、植物元素,产品调研 + 人工标注,适合奶茶、鲜奶茶和热饮；适合高级感表达
