recipe_id,饮品名称,饮品类型,成分组合,成分角色,用量等级,适配身体状态,适配心情状态,感官标签,体验标签,健康约束,适合场景,甜度建议,冷热建议,制作复杂度,推荐解释,视觉标签,可否机器制作
R001,柠檬白茶,茶果类,白茶、柠檬、代糖、冰块,白茶:基底；柠檬:风味；代糖:甜度；冰块:辅料,白茶:中；柠檬:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R002,青柠茉莉绿茶,茶果类,茉莉绿茶、青柠、代糖、冰块,茉莉绿茶:基底；青柠:风味；代糖:甜度；冰块:辅料,茉莉绿茶:中；青柠:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、花香、酸感,,低糖、过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R003,百香果乌龙茶,茶果类,乌龙茶、百香果、代糖、冰块,乌龙茶:基底；百香果:风味；代糖:甜度；冰块:辅料,乌龙茶:中；百香果:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R004,葡萄柚绿茶,茶果类,绿茶、葡萄柚、代糖、冰块,绿茶:基底；葡萄柚:风味；代糖:甜度；冰块:辅料,绿茶:中；葡萄柚:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R005,橙子伯爵红茶,茶果类,伯爵红茶、橙子、蜂蜜,伯爵红茶:基底；橙子:风味；蜂蜜:甜度,伯爵红茶:中；橙子:少；蜂蜜:少,困倦、疲劳、饱腹,低落、孤单、开心,清爽、茶香、果香、酸感、甜感,,过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,少糖,热饮,简单,适合困倦、疲劳或低落、孤单时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑咖啡因敏感慎用，过敏风险。,暖色、低饱和、柔和线条、高明度,是
R006,草莓红茶,茶果类,红茶、草莓、代糖、冰块,红茶:基底；草莓:风味；代糖:甜度；冰块:辅料,红茶:中；草莓:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、甜感、苦感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R007,蓝莓白茶,茶果类,白茶、蓝莓、代糖,白茶:基底；蓝莓:风味；代糖:甜度,白茶:中；蓝莓:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、烦躁,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,常温,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为常温，同时考虑低糖，咖啡因敏感慎用。,冷色、高明度、低饱和、圆润,是
R008,苹果玄米茶,茶果类,玄米茶、苹果、蜂蜜,玄米茶:基底；苹果:风味；蜂蜜:甜度,玄米茶:中；苹果:少；蜂蜜:少,困倦、疲劳、饱腹,低落、孤单、开心,清爽、茶香、果香、甜感,,过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,少糖,热饮,简单,适合困倦、疲劳或低落、孤单时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑咖啡因敏感慎用，过敏风险。,暖色、低饱和、柔和线条、高明度,是
R009,桃子轻发酵乌龙,茶果类,轻发酵乌龙、桃子、代糖、冰块,轻发酵乌龙:基底；桃子:风味；代糖:甜度；冰块:辅料,轻发酵乌龙:中；桃子:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、花香、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R010,芒果乌龙茶,茶果类,乌龙茶、芒果、代糖、冰块,乌龙茶:基底；芒果:风味；代糖:甜度；冰块:辅料,乌龙茶:中；芒果:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
