recommendation_id,session_id,user_id,recipe_id,饮品名称,推荐排名,双塔相似度,规则综合分,状态匹配分,风味偏好分,场景适配分,健康约束分,视觉适配分,制作可行性分,新颖度分,baseline_rank_score,mlp_rank_score,最终排序分,候选来源,是否通过规则过滤,过滤原因,推荐理由,推荐标签依据
REC001,S001,U001,R015,桃桃乌龙,1,0.2822,0.4522,0.263,0.2,0.5556,1.0,0.0,0.7,0.8836,0.4136,0.5759,0.5759,主候选,True,,该饮品与用户当前的【疲惫、睡眠不足、低落】较匹配，同时兼顾【咖啡因敏感】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,疲惫、低落、想提神、清爽、茶香
REC002,S001,U001,R019,荔枝白茶,2,0.2695,0.4522,0.263,0.2,0.5556,1.0,0.0,0.7,0.7807,0.4021,0.5664,0.5664,主候选,True,,该饮品与用户当前的【疲惫、睡眠不足、低落】较匹配，同时兼顾【咖啡因敏感】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,疲惫、低落、想提神、清爽、茶香
REC003,S001,U001,R003,葡萄柠檬茉莉花茶,3,0.1587,0.4402,0.2609,0.1429,0.5556,1.0,0.0,0.7,0.6147,0.3342,0.5258,0.5258,主候选,True,,该饮品与用户当前的【疲惫、睡眠不足、低落】较匹配，同时兼顾【咖啡因敏感】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,疲惫、低落、想提神、清爽、茶香
REC004,S002,U002,R078,百合玫瑰茶,1,0.2099,0.4592,0.225,0.25,0.6111,1.0,0.0,1.0,0.8212,0.4067,0.57,0.57,主候选,True,,该饮品与用户当前的【困倦、低落、想安抚】较匹配，同时兼顾【乳糖不耐】与【热饮】，适合作为当前场景下的个性化饮品推荐。,低落、想安抚、温热
REC005,S002,U002,R067,杏仁奶热可可,2,0.1563,0.4797,0.2213,0.4,0.5556,1.0,0.0,1.0,0.7963,0.3858,0.5599,0.5599,主候选,True,,该饮品与用户当前的【困倦、低落、想安抚】较匹配，同时兼顾【乳糖不耐】与【热饮】，适合作为当前场景下的个性化饮品推荐。,低落、想安抚、奶香、温热
REC006,S002,U002,R066,燕麦奶热可可,3,0.2,0.4797,0.2213,0.4,0.5556,1.0,0.0,1.0,0.5645,0.3961,0.5555,0.5555,主候选,True,,该饮品与用户当前的【困倦、低落、想安抚】较匹配，同时兼顾【乳糖不耐】与【热饮】，适合作为当前场景下的个性化饮品推荐。,低落、想安抚、奶香、温热
REC007,S003,U003,R015,桃桃乌龙,1,0.1533,0.4143,0.0311,0.4,0.5,1.0,0.0,0.7,0.803,0.3318,0.5341,0.5341,主候选,True,,该饮品与用户当前的【无明显不适、想满足、想庆祝】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,甜感、果香
REC008,S003,U003,R019,荔枝白茶,2,0.0964,0.4143,0.0311,0.4,0.5,1.0,0.0,0.7,0.6427,0.2954,0.5096,0.5096,主候选,True,,该饮品与用户当前的【无明显不适、想满足、想庆祝】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,甜感、果香
REC009,S003,U003,R003,葡萄柠檬茉莉花茶,3,-0.0909,0.3894,0.0243,0.2857,0.5,1.0,0.0,0.7,0.7863,0.2002,0.4651,0.4651,兜底补足,True,,该饮品与用户当前的【无明显不适、想满足、想庆祝】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,甜感、果香
REC010,S004,U004,R078,百合玫瑰茶,1,0.4189,0.3342,0.225,0.0,0.1111,1.0,0.0,1.0,0.979,0.4754,0.5909,0.5909,主候选,True,,该饮品与用户当前的【睡眠不足、紧张、想放松】较匹配，同时兼顾【咖啡因敏感】与【常温】，适合作为当前场景下的个性化饮品推荐。,紧张、想放松、低刺激
